NÚMERO E ANO DO REQUERIMENTO,PORTARIA DE AUTORIZAÇÃO,DENOMINAÇÃO SOCIAL DA EMPRESA,CNPJ,MARCAS,DOMÍNIOS
0092/2026,"SPA/MF nº 693, de 1º de abril de 2027",VANGUARD ENTRETENIMENTO BRASIL LTDA,56.885.537/0001-32,JOGO DE OURO,jogodeouro.bet.br
0096/2024,"SPA/MF nº 324, de  17 fevereiro de 2025",LOGAME DO BRASIL LTDA,56.349.116/0001-95,LÍDERBET,lider.bet.br
0096/2025,"SPA/MF nº 324, de  17 fevereiro de 2026",LOGAME DO BRASIL LTDA,56.349.116/0001-96,GERALBET,geralbet.bet.br
0096/2026,"SPA/MF nº 324, de  17 fevereiro de 2027",LOGAME DO BRASIL LTDA,56.349.116/0001-97,B2XBET,b2x.bet.br
0097/2024,"SPA/MF nº 325, de  17 fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.143, de 23 de maio de 2025)",SEVENX GAMING LTDA,56.504.413/0001-68,BULLSBET,bullsbet.bet.br
0097/2025,"SPA/MF nº 325, de  17 fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.143, de 23 de maio de 2025)",SEVENX GAMING LTDA,56.504.413/0001-69,JOGÃO,jogao.bet.br
0097/2026,"SPA/MF nº 325, de  17 fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.143, de 23 de maio de 2025)",SEVENX GAMING LTDA,56.504.413/0001-70,JOGOS,jogos.bet.br
0103/2024,"SPA/MF nº 326, de 17 fevereiro de 2025",BET.BET SOLUÇÕES TECNOLÓGICAS S.A.,53.274.124/0001-21,BET.BET,betpontobet.bet.br
0103/2025,"SPA/MF nº 326, de 17 fevereiro de 2026",BET.BET SOLUÇÕES TECNOLÓGICAS S.A.,53.274.124/0001-22,DONALDBET,donald.bet.br
0105/2024,"SPA/MF nº 264, de 07 de fevereiro de 2025",OLAVIR LTDA,56.873.267/0001-48,RIVALO,rivalo.bet.br
0106/2024,"SPA/MF nº 475, de 10 de março de 2025",HILGARDO GAMING LTDA,54.362.120/0001-68,A247,a247.bet.br
0106/2025,"SPA/MF nº 475, de 10 de março de 2026",HILGARDO GAMING LTDA,54.362.120/0001-69,HILGARDO,a definir
0106/2026,"SPA/MF nº 475, de 10 de março de 2027",HILGARDO GAMING LTDA,54.362.120/0001-70,HILGARDO GAMING,a definir
0109/2024,"SPA/MF nº 528, de 14 de março de 2025",SISTEMA LOTÉRICO DE PERNAMBUCO LTDA.,06.023.798/0001-73,MCGAMES,mcgames.bet.br
0109/2025,"SPA/MF nº 528, de 14 de março de 2026",SISTEMA LOTÉRICO DE PERNAMBUCO LTDA.,06.023.798/0001-74,MONTECARLOSBET,mcgamesbet.bet.br
0109/2026,"SPA/MF nº 528, de 14 de março de 2027",SISTEMA LOTÉRICO DE PERNAMBUCO LTDA.,06.023.798/0001-75,MONTECARLOS,montecarlos.bet.br
0118/2024,"SPA/MF nº 265, de 07 de fevereiro de 2025",NEXUS INTERNATIONAL LTDA,55.078.134/0001-17,MEGAPOSTA,megaposta.bet.br
